YEAR,STATE_CODE,race,MEM_,OSS_,pct_
1973,AK,AI,12845,205,2
1973,AK,AS,775,10,1
1973,AK,BL,2245,80,4
1973,AK,HI,795,10,1
1973,AK,HP,0,0,
1973,AK,MR,0,0,
1973,AK,WH,57645,1575,3
1973,AK,total,74305,1875,3
1973,AL,AI,370,5,1
1973,AL,AS,390,0,
1973,AL,BL,262145,10625,4
1973,AL,HI,400,5,1
1973,AL,HP,0,0,
1973,AL,MR,0,0,
1973,AL,WH,504700,9450,2
1973,AL,total,768005,20085,3
1973,AR,AI,175,0,
1973,AR,AS,435,5,1
1973,AR,BL,103230,6360,6
1973,AR,HI,460,5,1
1973,AR,HP,0,0,
1973,AR,MR,0,0,
1973,AR,WH,167750,3970,2
1973,AR,total,272050,10345,4
1973,AZ,AI,15305,285,2
1973,AZ,AS,1925,10,1
1973,AZ,BL,16860,205,1
1973,AZ,HI,77465,580,1
1973,AZ,HP,0,0,
1973,AZ,MR,0,0,
1973,AZ,WH,212130,1605,1
1973,AZ,total,323680,2685,1
1973,CA,AI,15625,625,4
1973,CA,AS,119705,1340,1
1973,CA,BL,421635,27115,6
1973,CA,HI,690585,26095,4
1973,CA,HP,0,0,
1973,CA,MR,0,0,
1973,CA,WH,2239030,87535,4
1973,CA,total,3486575,142705,4
1973,CO,AI,1580,65,4
1973,CO,AS,2465,30,1
1973,CO,BL,20910,2790,13
1973,CO,HI,64465,3570,6
1973,CO,HP,0,0,
1973,CO,MR,0,0,
1973,CO,WH,253425,6915,3
1973,CO,total,342845,13370,4
1973,CT,AI,155,5,3
1973,CT,AS,610,5,1
1973,CT,BL,53795,5390,10
1973,CT,HI,21065,1455,7
1973,CT,HP,0,0,
1973,CT,MR,0,0,
1973,CT,WH,124105,5080,4
1973,CT,total,199730,11940,6
1973,DC,AI,20,0,
1973,DC,AS,640,0,
1973,DC,BL,129250,2640,2
1973,DC,HI,835,5,1
1973,DC,HP,0,0,
1973,DC,MR,0,0,
1973,DC,WH,4335,15,0
1973,DC,total,135080,2655,2
1973,DE,AI,90,0,
1973,DE,AS,200,0,
1973,DE,BL,25720,1680,7
1973,DE,HI,875,30,3
1973,DE,HP,0,0,
1973,DE,MR,0,0,
1973,DE,WH,39120,2225,6
1973,DE,total,66000,3940,6
1973,FL,AI,2200,30,1
1973,FL,AS,3385,30,1
1973,FL,BL,347015,34230,10
1973,FL,HI,89735,1630,2
1973,FL,HP,0,0,
1973,FL,MR,0,0,
1973,FL,WH,1077610,39620,4
1973,FL,total,1519945,75540,5
1973,GA,AI,480,95,20
1973,GA,AS,1405,20,1
1973,GA,BL,362615,20450,6
1973,GA,HI,1475,105,7
1973,GA,HP,0,0,
1973,GA,MR,0,0,
1973,GA,WH,629000,17900,3
1973,GA,total,994980,38570,4
1973,IA,AI,460,5,1
1973,IA,AS,230,0,
1973,IA,BL,8765,760,9
1973,IA,HI,1115,30,3
1973,IA,HP,0,0,
1973,IA,MR,0,0,
1973,IA,WH,105275,2130,2
